Text,True Label,Predicted Label
AstraZeneca chases Acerta to secure next cancer drug winner,positive,positive
$TSLA is now up 57% from its February low. Amazing rebound.,positive,positive.
$COH Gaining Momentum! Nice buy signals here! Long Over $35.92 http://stks.co/t0tAh,positive,positive
"26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier .",positive,positive
Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,positive,positive
"Buffett's Berkshire builds Deere stake, dumps Exxon",positive,neutral
AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,positive,positive.
Synergy Pharma Soars 67% Today On Positive Phase 3 Results $SGYP http://stks.co/j2awg,positive,positive
"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",positive,neutral
"HELSINKI ( AFX ) - Retail and wholesale group Kesko reported net sales of 659.4 mln eur for February , an increase of 10.8 pct year-on-year .",positive,positive
"`` The new structure provides better communication , faster decision-making and cost savings , '' Proha said .",positive,positive
