Text,True Label,Predicted Label
"( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o",neutral,negative
The objective of the St. Petersburg office is first to boost the Company 's maintenance business .,neutral,positive
The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting .,neutral,neutral.
The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,neutral,neutral
Finnish component supplier Componenta Corporation ( OMX Helsinki : CTH1V ) reported on Tuesday ( 15 July ) an operating profit of EUR46 .2 m on net sales of EUR386 .0 m for the financial period January-June 2008 .,neutral,positive
"GENEVA , Feb. 10 -- Tero Aaltonen , Finland has developed a radio resource control method .",neutral,neutral
"The decision of Tekes was based on , among other , the following grounds : the project has a significant impact on the business development of the company .",neutral,positive
"Trading code : ELI1V Number of shares : 99,483 Price-share : Gratuitous After the transfer , Elisa holds a total of 10,435,023 own shares .",neutral,neutral
EPS dropped to EUR0 .2 from EUR0 .3 .,neutral,negative
hu will offer a further discount of between 25 % and 50 % on selected books .,neutral,positive
Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,neutral,negative
`` These developments partly reflect the government 's higher activity in the field of dividend policy . '',neutral,neutral
The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .,neutral,neutral
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",neutral,negative
Activities range from the development of natural resources to the retailed marketing of finished products .,neutral,neutral
The firm generated sales of 187 mln eur in 2005 .,neutral,neutral
"AHMS will also offer Hotel and Hotel Project Consultancy , Management Services , Brand Franchise , Training and Sales and Marketing services on a pan-India basis .",neutral,positive
The goal is to secure the company 's profitability and competitiveness .,neutral,positive
"Compagnie de Financement Foncier - Is to issue a benchmark , 10 year covered deal in Euros .",neutral,neutral
"The estimated value of the contract is EUR12 .4 m. Vaisala , headquartered in Helsinki in Finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry .",neutral,positive.
"Meanwhile , minority shareholders , expecting TeliaSonera to retain the bid , sell shares now .",neutral,negative.
The company has an annual turnover of EUR32 .8 m.,neutral,neutral
"Rockwell Collins is a provider of flight deck , cabin and information management solutions for business aircraft operators .",neutral,neutral
"FinancialWire ( tm ) , in cooperation with the Investrend Broadcast Syndicate , also provides complete , daily conference call and webcast schedules as a service to shareholders and investors via the FirstAlert ( tm ) Networks oeFirstAlert ( tm ) Daily .",neutral,neutral
The adjustments concern staff in both the Specialty Papers and the Fiber Composites segments .,neutral,neutral
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,neutral,negative
Finnish publishing and printing group Ilkka-Yhtym+ñ will introduced a staff smoking ban as of the beginning of 2007 at the company 's three newspapers .,neutral,neutral
"Dopplr members share personal and business travel plans privately with their networks , and highlight interesting places to stay , eat and explore in cities around the world .",neutral,positive
Profit for the period fell to EUR 1.6 mn from EUR 7.5 mn in January-September 2008 .,neutral,negative
Juha-Pekka Weckstr+Âm has been appointed President of telecom group TeliaSonera Finland to succeed Esa Rautalinko .,neutral,neutral
Shares will be acquired in accordance with section 5 of the rules of NASDAQ OMX Helsinki and other rules applicable to the acquisition of own shares .,neutral,neutral
"However , two of the previously ordered sets will start producing electricity at the end of October 2010 , it said .",neutral,neutral
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,neutral,negative
Asian traffic declined by 3.4 per cent .,neutral,negative
"The shares shall be repurchased through public trading , for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders .",neutral,neutral
It will use the proceeds from the transaction to achieve its target .,neutral,neutral
Implementation of the project will be carried out by the Finnish company YIT in association with the investment fund Evli Property Investment Russia ( EPI ) .,neutral,neutral
Finnish logistics and information solutions provider Done Solutions Corporation ( OMX Helsinki : DSO1V ) reported on Wednesday ( 29 October ) an operating profit of EUR3 .6 m on net sales of EUR35 .1 m for the period January-September 2008 .,neutral,positive
The potential acquirer is Cencorp Corporation which is a related entity to SAV owing to each of SAV and Cencorp being a subsidiary of the Finnish Savcor Group Oy .,neutral,neutral
M2 Communications disclaims all liability for information provided within information on on the world wide web .,neutral,negative
Finnish Raute Precision that supplies weighing and dosing systems and plants is changing its name to Lahti Precision .,neutral,neutral
"The decision will have to be made whether the group agrees to the import of Estonian meat and meat products to Finland , the paper added .",neutral,neutral
"Tikkurila has an interesting growth strategy , which we support .",neutral,positive
The technology park will be built near St. Petersburg-based Pulkovo airport .,neutral,neutral
"Vaisala , headquartered in Helsinki in Finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry .",neutral,neutral
"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral,neutral
Nordea 's chairman of the board Hans Dalborg has informed the nomination committee that he will not be up for re-election at the Annual General Meeting in 2011 .,neutral,neutral
"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 .",neutral,negative
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,neutral,negative
"`` As defences mature , attackers develop Trojans that are equipped with content filters to detect online banking activity for capturing account details using methods such as form grabbing , screen shots , video captures , keylogging and injection of form fields .",neutral,negative
"The total size of the complex is around 25,000 m2 and the project will be constructed in stages .",neutral,neutral
"Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking .",neutral,neutral
"Last week , however , Nokia announced that it will pursue a long-term relationship with Microsoft , and make the Windows Phone 7 operating system the foundation for Nokia mobile phones .",neutral,neutral
Also construction expenses have gone up in Russia .,neutral,neutral
Global life science industry is strictly regulated by international and national authorities .,neutral,neutral
These restrictions do not apply to statutory dividends .,neutral,neutral
"The 3C Expo is a signature show in Dongguan , which is supported by the Dongguan Municipal Government every year , featuring computer accessories , software , communication and network products .",neutral,neutral
